CaseID,ActivityID,CompleteTimestamp,GroupID
Case No. 8,2,2018/03/23 19:00:43,1
Case No. 8,1,2018/03/23 19:17:29,1
Case No. 9,0,2018/03/23 21:09:53,1
Case No. 9,1,2018/03/23 21:11:14,1
Case No. 9,2,2018/03/23 21:14:48,3
Case No. 9,2,2018/03/23 21:19:28,1
Case No. 9,1,2018/03/23 21:36:58,1
Case No. 9,2,2018/03/23 22:01:18,1
Case No. 9,2,2018/03/23 22:11:49,1
Case No. 9,2,2018/03/23 22:27:13,1
Case No. 9,0,2018/03/23 22:32:40,1
Case No. 9,1,2018/03/23 22:42:32,1
Case No. 9,2,2018/03/23 23:07:22,1
Case No. 9,2,2018/03/23 23:10:14,1
Case No. 9,2,2018/03/23 23:13:32,1
Case No. 9,2,2018/03/23 23:14:56,1
Case No. 9,1,2018/03/23 23:15:07,1
Case No. 10,0,2018/03/23 23:39:12,3
Case No. 10,1,2018/03/23 23:41:05,1
Case No. 10,2,2018/03/24 00:01:19,3
Case No. 10,2,2018/03/24 00:03:08,1
Case No. 10,1,2018/03/24 00:11:01,1
Case No. 10,2,2018/03/24 00:31:24,1
Case No. 10,2,2018/03/24 01:01:20,1
Case No. 10,2,2018/03/24 01:16:26,1
Case No. 10,0,2018/03/24 01:19:30,1
Case No. 10,1,2018/03/24 01:24:17,1
Case No. 10,2,2018/03/24 01:25:18,1
Case No. 10,2,2018/03/24 02:18:35,1
Case No. 10,2,2018/03/24 02:52:43,1
Case No. 10,2,2018/03/24 02:55:48,1
Case No. 10,1,2018/03/24 03:18:49,1
Case No. 11,0,2018/03/24 03:30:08,2
Case No. 11,1,2018/03/24 03:40:15,1
Case No. 11,2,2018/03/24 03:41:52,2
Case No. 11,2,2018/03/24 03:47:39,1
Case No. 11,1,2018/03/24 04:35:57,1
Case No. 11,2,2018/03/24 04:47:39,1
Case No. 11,2,2018/03/24 04:48:48,1
Case No. 11,2,2018/03/24 05:02:10,1
Case No. 11,0,2018/03/24 05:05:40,1
Case No. 11,1,2018/03/24 05:20:18,1
Case No. 11,2,2018/03/24 05:42:21,1
Case No. 11,2,2018/03/24 05:51:21,1
Case No. 11,2,2018/03/24 06:28:34,1
Case No. 11,2,2018/03/24 06:51:29,1
Case No. 11,1,2018/03/24 07:14:15,1
Case No. 12,0,2018/03/24 07:39:11,2
Case No. 12,1,2018/03/24 08:20:27,1
Case No. 12,2,2018/03/24 08:41:43,3
Case No. 12,2,2018/03/24 08:54:18,1
Case No. 12,1,2018/03/24 09:39:15,1
Case No. 12,2,2018/03/24 09:50:30,1
Case No. 12,2,2018/03/24 10:11:46,1
Case No. 12,2,2018/03/24 10:27:39,1
Case No. 12,0,2018/03/24 10:28:11,1
Case No. 12,1,2018/03/24 10:35:26,1
Case No. 12,2,2018/03/24 10:40:35,1
Case No. 12,2,2018/03/24 10:43:48,1
Case No. 12,2,2018/03/24 10:45:47,1
Case No. 12,2,2018/03/24 11:02:53,1
Case No. 12,1,2018/03/24 11:07:54,1
Case No. 13,0,2018/03/24 11:25:16,2
Case No. 13,1,2018/03/24 11:43:01,1
Case No. 13,2,2018/03/24 12:08:02,3
Case No. 13,2,2018/03/24 12:22:58,2
Case No. 13,1,2018/03/24 12:24:14,1
Case No. 13,2,2018/03/24 12:34:44,1
Case No. 13,2,2018/03/24 12:54:55,1
Case No. 13,2,2018/03/24 13:18:37,1
Case No. 13,0,2018/03/24 13:35:08,1
Case No. 13,1,2018/03/24 13:45:23,1
Case No. 13,2,2018/03/24 14:23:44,1
Case No. 13,2,2018/03/24 14:28:11,1
Case No. 13,2,2018/03/24 14:42:00,1
Case No. 13,2,2018/03/24 14:49:35,1
Case No. 13,1,2018/03/24 15:03:45,1
Case No. 14,0,2018/03/24 15:25:18,1
Case No. 14,1,2018/03/24 15:28:38,1
Case No. 14,2,2018/03/24 15:45:31,1
Case No. 14,2,2018/03/24 16:23:49,2
Case No. 14,1,2018/03/24 16:27:37,1
Case No. 14,2,2018/03/24 16:59:44,1
Case No. 14,2,2018/03/24 17:25:34,1
Case No. 14,2,2018/03/24 17:54:32,1
Case No. 14,0,2018/03/24 18:17:08,1
Case No. 14,1,2018/03/24 18:31:55,1
Case No. 14,2,2018/03/24 18:33:23,1
Case No. 14,2,2018/03/24 18:35:18,1
Case No. 14,2,2018/03/24 18:41:49,1
Case No. 14,2,2018/03/24 19:10:36,1
Case No. 14,1,2018/03/24 19:13:46,1
Case No. 15,0,2018/03/24 19:34:32,1
Case No. 15,1,2018/03/24 19:42:23,1
Case No. 15,2,2018/03/24 20:11:14,1
Case No. 15,2,2018/03/24 20:17:56,3
Case No. 15,1,2018/03/24 20:21:45,1
Case No. 15,2,2018/03/24 20:34:30,1
Case No. 15,2,2018/03/24 21:12:46,1
Case No. 15,2,2018/03/24 21:47:52,1
Case No. 15,0,2018/03/24 22:13:32,1
Case No. 15,1,2018/03/24 22:23:15,1
Case No. 15,2,2018/03/24 22:24:24,1
Case No. 15,2,2018/03/24 22:36:44,1
Case No. 15,2,2018/03/24 22:55:43,1
Case No. 15,2,2018/03/24 23:15:56,1
Case No. 15,1,2018/03/24 23:17:51,1
Case No. 16,0,2018/03/24 23:24:44,3
Case No. 16,1,2018/03/24 23:27:07,1
Case No. 16,2,2018/03/24 23:34:33,1
Case No. 16,2,2018/03/25 00:03:03,3
Case No. 16,1,2018/03/25 00:22:57,1
Case No. 16,2,2018/03/25 01:07:23,1
Case No. 16,2,2018/03/25 01:50:50,1
Case No. 16,2,2018/03/25 03:10:40,1
Case No. 16,0,2018/03/25 03:18:12,1
Case No. 16,1,2018/03/25 03:26:53,1
Case No. 16,2,2018/03/25 03:52:45,1
Case No. 16,2,2018/03/25 03:54:13,1
Case No. 16,2,2018/03/25 03:59:51,1
Case No. 16,2,2018/03/25 03:03:33,1
Case No. 16,1,2018/03/25 03:16:02,1
Case No. 17,0,2018/03/25 03:19:53,2
Case No. 17,1,2018/03/25 03:26:39,1
Case No. 17,2,2018/03/25 03:28:50,1
Case No. 17,2,2018/03/25 03:35:09,2
Case No. 17,1,2018/03/25 03:36:17,1
Case No. 17,2,2018/03/25 04:20:39,1
Case No. 17,2,2018/03/25 05:01:54,1
Case No. 17,2,2018/03/25 05:02:01,1
Case No. 17,0,2018/03/25 05:12:42,1
Case No. 17,1,2018/03/25 05:18:51,1
Case No. 17,2,2018/03/25 05:37:14,1
Case No. 17,2,2018/03/25 06:07:14,1
Case No. 17,2,2018/03/25 06:23:25,1
Case No. 17,2,2018/03/25 06:33:04,1
Case No. 17,1,2018/03/25 06:55:38,1
Case No. 18,0,2018/03/25 08:03:11,3
Case No. 18,1,2018/03/25 08:07:27,1
Case No. 18,2,2018/03/25 08:23:50,1
Case No. 18,2,2018/03/25 08:37:30,2
Case No. 18,1,2018/03/25 08:43:33,1
Case No. 18,2,2018/03/25 08:47:26,1
Case No. 18,2,2018/03/25 09:02:13,1
Case No. 18,2,2018/03/25 09:18:20,1
Case No. 18,0,2018/03/25 09:29:29,1
Case No. 18,1,2018/03/25 10:03:22,1
Case No. 18,2,2018/03/25 10:22:05,1
Case No. 18,2,2018/03/25 10:38:40,1
Case No. 18,2,2018/03/25 10:59:28,1
Case No. 18,2,2018/03/25 11:09:30,1
Case No. 18,1,2018/03/25 11:12:59,1
Case No. 19,0,2018/03/25 11:42:49,2
Case No. 19,1,2018/03/25 11:43:15,1
Case No. 19,2,2018/03/25 12:20:20,1
Case No. 19,2,2018/03/25 12:21:58,3
Case No. 19,1,2018/03/25 12:41:51,1
Case No. 19,2,2018/03/25 12:45:42,1
Case No. 19,2,2018/03/25 13:07:36,1
Case No. 19,2,2018/03/25 13:23:19,1
Case No. 19,0,2018/03/25 13:49:41,1
Case No. 19,1,2018/03/25 14:05:51,1
Case No. 19,2,2018/03/25 14:16:25,1
Case No. 19,2,2018/03/25 14:17:47,1
Case No. 19,2,2018/03/25 15:08:16,1
Case No. 19,2,2018/03/25 15:11:47,1
Case No. 19,1,2018/03/25 15:15:49,1
Case No. 20,0,2018/03/25 15:28:28,2
Case No. 20,1,2018/03/25 16:34:47,1
Case No. 20,2,2018/03/25 16:38:18,2
Case No. 20,2,2018/03/25 16:51:43,3
Case No. 20,1,2018/03/25 17:06:12,1
Case No. 20,2,2018/03/25 17:15:35,1
Case No. 20,2,2018/03/25 17:24:55,1
Case No. 20,2,2018/03/25 17:27:37,1
Case No. 20,0,2018/03/25 18:04:28,1
Case No. 20,1,2018/03/25 18:35:49,1
Case No. 20,2,2018/03/25 18:38:25,1
Case No. 20,2,2018/03/25 18:40:43,1
Case No. 20,2,2018/03/25 19:10:36,1
Case No. 20,2,2018/03/25 19:15:43,1
Case No. 20,1,2018/03/25 19:19:34,1
Case No. 21,0,2018/03/25 19:34:26,1
Case No. 21,1,2018/03/25 19:53:15,1
Case No. 21,2,2018/03/25 20:24:38,2
Case No. 21,2,2018/03/25 20:32:35,2
Case No. 21,1,2018/03/25 20:44:00,1
Case No. 21,2,2018/03/25 20:47:30,1
Case No. 21,2,2018/03/25 20:59:45,1
Case No. 21,2,2018/03/25 21:07:41,1
Case No. 21,0,2018/03/25 21:07:47,1
Case No. 21,1,2018/03/25 21:08:28,1
Case No. 21,2,2018/03/25 21:32:07,1
Case No. 21,2,2018/03/25 21:41:13,1
Case No. 21,2,2018/03/25 21:46:09,1
Case No. 21,2,2018/03/25 22:56:52,1
Case No. 21,1,2018/03/25 23:03:32,1
Case No. 22,1,2018/03/22 11:40:03,1
Case No. 22,1,2018/03/22 11:53:33,1
Case No. 22,1,2018/03/22 12:08:34,1
Case No. 22,1,2018/03/22 12:16:01,1
Case No. 22,1,2018/03/22 12:25:23,1
Case No. 22,1,2018/03/22 12:26:14,1
Case No. 22,1,2018/03/22 12:38:54,1
Case No. 22,1,2018/03/22 12:56:52,1
Case No. 22,1,2018/03/22 13:13:42,1
Case No. 22,1,2018/03/22 13:23:25,1
Case No. 22,1,2018/03/22 13:39:46,1
Case No. 22,1,2018/03/22 13:43:07,1
Case No. 22,1,2018/03/22 13:48:15,1
Case No. 22,1,2018/03/22 13:51:21,1
Case No. 22,1,2018/03/22 14:06:36,1
Case No. 23,1,2018/03/22 15:26:33,2
Case No. 23,1,2018/03/22 15:34:33,1
Case No. 23,1,2018/03/22 15:48:16,1
Case No. 23,1,2018/03/22 16:32:40,1
Case No. 23,1,2018/03/22 16:35:40,1
Case No. 23,1,2018/03/22 17:20:13,1
Case No. 23,1,2018/03/22 17:33:00,1
Case No. 23,1,2018/03/22 17:42:13,1
Case No. 23,1,2018/03/22 17:47:16,1
Case No. 23,1,2018/03/22 17:51:51,1
Case No. 23,1,2018/03/22 17:59:49,1
Case No. 23,1,2018/03/22 18:44:08,1
Case No. 23,1,2018/03/22 19:03:03,1
Case No. 23,1,2018/03/22 19:06:20,1
Case No. 23,1,2018/03/22 19:07:06,1
Case No. 24,3,2018/03/22 19:23:04,1
Case No. 24,1,2018/03/22 19:23:41,1
Case No. 24,1,2018/03/22 19:40:59,1
Case No. 24,1,2018/03/22 19:44:24,1
Case No. 24,1,2018/03/22 20:11:45,1
Case No. 24,1,2018/03/22 20:12:37,1
Case No. 24,1,2018/03/22 20:18:54,1
Case No. 24,1,2018/03/22 20:37:57,1
Case No. 24,1,2018/03/22 21:07:54,1
Case No. 24,1,2018/03/22 21:16:52,1
Case No. 24,1,2018/03/22 21:18:46,1
Case No. 24,1,2018/03/22 21:30:21,1
Case No. 24,1,2018/03/22 23:06:59,1
Case No. 24,1,2018/03/22 23:08:55,1
Case No. 24,1,2018/03/22 23:12:58,1
Case No. 25,3,2018/03/22 23:22:15,2
Case No. 25,1,2018/03/22 23:38:38,1
Case No. 25,1,2018/03/22 23:49:42,1
Case No. 25,1,2018/03/22 23:52:11,1
Case No. 25,1,2018/03/23 00:22:51,1
Case No. 25,1,2018/03/23 00:50:18,1
Case No. 25,1,2018/03/23 01:03:31,1
Case No. 25,1,2018/03/23 01:13:37,1
Case No. 25,1,2018/03/23 01:50:43,1
Case No. 25,1,2018/03/23 01:52:49,1
Case No. 25,1,2018/03/23 02:08:26,1
Case No. 25,1,2018/03/23 02:09:18,1
Case No. 25,1,2018/03/23 02:21:51,1
Case No. 25,1,2018/03/23 03:04:04,1
Case No. 25,1,2018/03/23 03:04:45,1
Case No. 26,3,2018/03/23 03:30:02,3
Case No. 26,1,2018/03/23 03:36:34,1
Case No. 26,1,2018/03/23 03:50:59,1
Case No. 26,1,2018/03/23 04:16:55,1
Case No. 26,1,2018/03/23 04:22:07,1
Case No. 26,1,2018/03/23 04:37:34,1
Case No. 26,1,2018/03/23 04:50:17,1
Case No. 26,1,2018/03/23 05:14:53,1
Case No. 26,1,2018/03/23 05:32:14,1
Case No. 26,1,2018/03/23 05:32:16,1
Case No. 26,1,2018/03/23 05:37:21,1
Case No. 26,1,2018/03/23 05:42:29,1
Case No. 26,1,2018/03/23 05:56:39,1
Case No. 26,1,2018/03/23 06:04:08,1
Case No. 26,1,2018/03/23 07:17:48,1
Case No. 27,6,2018/03/23 07:21:16,3
Case No. 27,1,2018/03/23 07:30:35,1
Case No. 27,1,2018/03/23 07:42:39,1
Case No. 27,1,2018/03/23 07:47:04,1
Case No. 27,1,2018/03/23 07:47:06,1
Case No. 27,1,2018/03/23 07:52:35,1
Case No. 27,1,2018/03/23 08:23:14,1
Case No. 27,1,2018/03/23 08:29:39,1
Case No. 27,1,2018/03/23 09:30:21,1
Case No. 27,1,2018/03/23 09:35:02,1
Case No. 27,1,2018/03/23 10:04:00,1
Case No. 27,1,2018/03/23 10:04:44,1
Case No. 27,1,2018/03/23 10:17:19,1
Case No. 27,1,2018/03/23 10:26:34,1
Case No. 27,1,2018/03/23 10:59:59,1
Case No. 28,1,2018/03/23 11:27:31,3
Case No. 28,1,2018/03/23 11:58:48,1
Case No. 28,1,2018/03/23 12:12:19,1
Case No. 28,1,2018/03/23 12:18:44,1
Case No. 28,1,2018/03/23 12:33:38,1
Case No. 28,1,2018/03/23 12:37:41,1
Case No. 28,1,2018/03/23 12:40:11,1
Case No. 28,1,2018/03/23 12:43:37,1
Case No. 28,1,2018/03/23 12:58:51,1
Case No. 28,1,2018/03/23 13:08:05,1
Case No. 28,1,2018/03/23 13:27:59,1
Case No. 28,1,2018/03/23 14:23:27,1
Case No. 28,1,2018/03/23 14:34:26,1
Case No. 28,1,2018/03/23 14:43:29,1
Case No. 28,1,2018/03/23 14:58:36,1
Case No. 29,0,2018/03/23 15:38:14,3
Case No. 29,1,2018/03/23 15:56:19,1
Case No. 29,1,2018/03/23 16:00:32,1
Case No. 29,1,2018/03/23 16:02:43,1
Case No. 29,1,2018/03/23 16:16:30,1
Case No. 29,1,2018/03/23 16:24:49,1
Case No. 29,1,2018/03/23 16:35:02,1
Case No. 29,1,2018/03/23 17:01:58,1
Case No. 29,1,2018/03/23 17:07:40,1
Case No. 29,1,2018/03/23 17:22:47,1
Case No. 29,1,2018/03/23 17:26:06,1
Case No. 29,1,2018/03/23 17:30:13,1
Case No. 29,1,2018/03/23 17:51:15,1
Case No. 29,1,2018/03/23 18:21:28,1
Case No. 29,1,2018/03/23 18:28:40,1
Case No. 30,4,2018/03/23 19:20:30,1
Case No. 30,1,2018/03/23 19:29:41,1
Case No. 30,1,2018/03/23 19:48:54,1
Case No. 30,1,2018/03/23 20:15:50,1
Case No. 30,1,2018/03/23 20:33:56,1
Case No. 30,1,2018/03/23 20:47:17,1
Case No. 30,1,2018/03/23 20:56:43,1
Case No. 30,1,2018/03/23 21:01:26,1
Case No. 30,1,2018/03/23 21:11:10,1
Case No. 30,1,2018/03/23 21:26:14,1
Case No. 30,1,2018/03/23 21:29:28,1
Case No. 30,1,2018/03/23 21:54:59,1
Case No. 30,1,2018/03/23 21:58:27,1
Case No. 30,1,2018/03/23 22:57:36,1
Case No. 30,1,2018/03/23 23:01:01,1
Case No. 31,4,2018/03/23 23:21:26,2
Case No. 31,1,2018/03/23 23:54:38,1
Case No. 31,1,2018/03/23 23:59:43,1
Case No. 31,1,2018/03/24 00:41:42,1
Case No. 31,1,2018/03/24 00:53:13,1
Case No. 31,1,2018/03/24 00:55:55,1
Case No. 31,1,2018/03/24 02:08:18,1
Case No. 31,1,2018/03/24 02:14:22,1
Case No. 31,1,2018/03/24 02:18:35,1
Case No. 31,1,2018/03/24 02:33:56,1
Case No. 31,1,2018/03/24 02:44:37,1
Case No. 31,1,2018/03/24 02:49:28,1
Case No. 31,1,2018/03/24 02:54:03,1
Case No. 31,1,2018/03/24 02:55:19,1
Case No. 31,1,2018/03/24 03:17:33,1
Case No. 32,4,2018/03/24 03:37:07,3
Case No. 32,1,2018/03/24 03:49:40,1
Case No. 32,1,2018/03/24 03:52:14,1
Case No. 32,1,2018/03/24 04:35:02,1
Case No. 32,1,2018/03/24 04:42:43,1
Case No. 32,1,2018/03/24 04:59:28,1
Case No. 32,1,2018/03/24 05:01:06,1
Case No. 32,1,2018/03/24 05:05:54,1
Case No. 32,1,2018/03/24 05:23:21,1
Case No. 32,1,2018/03/24 05:31:53,1
Case No. 32,1,2018/03/24 06:13:06,1
Case No. 32,1,2018/03/24 06:34:19,1
Case No. 32,1,2018/03/24 06:40:34,1
Case No. 32,1,2018/03/24 07:00:30,1
Case No. 32,1,2018/03/24 07:16:29,1
Case No. 33,6,2018/03/24 07:48:07,2
Case No. 33,1,2018/03/24 08:06:48,1
Case No. 33,1,2018/03/24 08:23:51,1
Case No. 33,1,2018/03/24 08:50:31,1
Case No. 33,1,2018/03/24 08:58:35,1
Case No. 33,1,2018/03/24 09:06:38,1
Case No. 33,1,2018/03/24 09:16:58,1
Case No. 33,1,2018/03/24 09:57:24,1
Case No. 33,1,2018/03/24 10:13:20,1
Case No. 33,1,2018/03/24 10:23:29,1
Case No. 33,1,2018/03/24 10:31:36,1
Case No. 33,1,2018/03/24 11:03:30,1
Case No. 33,1,2018/03/24 11:07:40,1
Case No. 33,1,2018/03/24 11:16:47,1
Case No. 33,1,2018/03/24 11:19:12,1
Case No. 34,2,2018/03/24 11:20:18,1
Case No. 34,1,2018/03/24 11:27:59,1
Case No. 34,1,2018/03/24 11:36:27,1
Case No. 34,1,2018/03/24 12:03:30,1
Case No. 34,1,2018/03/24 12:18:07,1
Case No. 34,1,2018/03/24 12:27:25,1
Case No. 34,1,2018/03/24 12:58:06,1
Case No. 34,1,2018/03/24 13:07:40,1
Case No. 34,1,2018/03/24 13:15:05,1
Case No. 34,1,2018/03/24 13:21:11,1
Case No. 34,1,2018/03/24 13:51:24,1
Case No. 34,1,2018/03/24 14:07:54,1
Case No. 34,1,2018/03/24 14:39:51,1
Case No. 34,1,2018/03/24 14:44:40,1
Case No. 34,1,2018/03/24 14:55:55,1
Case No. 35,6,2018/03/24 15:51:49,1
Case No. 35,1,2018/03/24 16:02:38,1
Case No. 35,1,2018/03/24 16:17:20,1
Case No. 35,1,2018/03/24 16:22:47,1
Case No. 35,1,2018/03/24 16:26:50,1
Case No. 35,1,2018/03/24 16:47:29,1
Case No. 35,1,2018/03/24 16:47:50,1
Case No. 35,1,2018/03/24 16:55:10,1
Case No. 35,1,2018/03/24 17:44:00,1
Case No. 35,1,2018/03/24 18:02:31,1
Case No. 35,1,2018/03/24 18:11:43,1
Case No. 35,1,2018/03/24 18:48:26,1
Case No. 35,1,2018/03/24 19:01:29,1
Case No. 35,1,2018/03/24 19:04:34,1
Case No. 35,1,2018/03/24 19:05:36,1
Case No. 36,7,2018/03/24 19:22:03,1
Case No. 36,1,2018/03/24 19:28:31,1
Case No. 36,1,2018/03/24 19:35:44,1
Case No. 36,1,2018/03/24 19:59:05,1
Case No. 36,1,2018/03/24 20:03:42,1
Case No. 36,1,2018/03/24 20:20:50,1
Case No. 36,1,2018/03/24 20:29:19,1
Case No. 36,1,2018/03/24 20:47:31,1
Case No. 36,1,2018/03/24 21:40:10,1
Case No. 36,1,2018/03/24 21:45:14,1
Case No. 36,1,2018/03/24 21:46:37,1
Case No. 36,1,2018/03/24 21:48:47,1
Case No. 36,1,2018/03/24 22:39:23,1
Case No. 36,1,2018/03/24 23:03:52,1
Case No. 36,1,2018/03/24 23:17:00,1
Case No. 37,5,2018/03/24 23:28:28,1
Case No. 37,1,2018/03/24 23:50:31,1
Case No. 37,1,2018/03/25 00:13:55,1
Case No. 37,1,2018/03/25 00:16:51,1
Case No. 37,1,2018/03/25 00:54:14,1
Case No. 37,1,2018/03/25 01:02:20,1
Case No. 37,1,2018/03/25 01:07:37,1
Case No. 37,1,2018/03/25 01:19:23,1
Case No. 37,1,2018/03/25 01:26:45,1
Case No. 37,1,2018/03/25 01:47:29,1
Case No. 37,1,2018/03/25 03:14:46,1
Case No. 37,1,2018/03/25 03:35:37,1
Case No. 37,1,2018/03/25 03:40:00,1
Case No. 37,1,2018/03/25 03:56:50,1
Case No. 37,1,2018/03/25 03:16:45,1
Case No. 38,5,2018/03/25 03:21:41,3
Case No. 38,1,2018/03/25 03:35:43,1
Case No. 38,1,2018/03/25 03:36:12,1
Case No. 38,1,2018/03/25 03:52:07,1
Case No. 38,1,2018/03/25 03:59:26,1
Case No. 38,1,2018/03/25 04:17:52,1
Case No. 38,1,2018/03/25 04:25:45,1
Case No. 38,1,2018/03/25 04:31:00,1
Case No. 38,1,2018/03/25 04:57:55,1
Case No. 38,1,2018/03/25 05:43:45,1
Case No. 38,1,2018/03/25 05:48:00,1
Case No. 38,1,2018/03/25 06:09:18,1
Case No. 38,1,2018/03/25 06:14:54,1
Case No. 38,1,2018/03/25 06:23:49,1
Case No. 38,1,2018/03/25 06:26:14,1
Case No. 39,5,2018/03/25 08:00:06,2
Case No. 39,1,2018/03/25 08:12:18,1
Case No. 39,1,2018/03/25 09:00:42,1
Case No. 39,1,2018/03/25 09:11:26,1
Case No. 39,1,2018/03/25 09:16:54,1
Case No. 39,1,2018/03/25 09:17:41,1
Case No. 39,1,2018/03/25 09:22:41,1
Case No. 39,1,2018/03/25 09:57:07,1
Case No. 39,1,2018/03/25 10:36:13,1
Case No. 39,1,2018/03/25 10:47:20,1
