CaseID,ActivityID,CompleteTimestamp,attribute1,attribute2,attribute3,attribute4,attribute5
Case No. 2,7,2018/07/06 17:27:40,3,0,0,0,0
Case No. 2,1,2018/07/06 17:27:56,0,0,0,0,0
Case No. 2,7,2018/07/06 17:33:40,0,0,0,0,0
Case No. 2,4,2018/07/06 17:37:18,2,0,1,0,0
Case No. 2,0,2018/07/06 17:40:00,2,0,0,0,0
Case No. 2,3,2018/07/06 18:37:29,2,0,0,0,0
Case No. 2,6,2018/07/06 18:51:52,1,0,0,0,0
Case No. 3,0,2018/07/06 18:53:15,0,0,0,0,0
Case No. 3,2,2018/07/06 19:06:25,0,3,1,1,0
Case No. 3,7,2018/07/06 19:11:17,3,0,0,0,0
Case No. 3,1,2018/07/06 19:28:43,0,0,0,1,0
Case No. 3,7,2018/07/06 19:37:06,0,3,0,0,0
Case No. 3,6,2018/07/06 19:37:55,1,3,0,0,1
Case No. 3,7,2018/07/06 19:48:21,1,0,0,1,2
Case No. 3,5,2018/07/06 20:00:09,3,0,0,0,0
Case No. 3,1,2018/07/06 20:00:37,1,0,0,0,0
Case No. 3,6,2018/07/06 20:08:54,0,0,0,0,0
Case No. 3,2,2018/07/06 20:10:43,1,0,0,0,0
Case No. 3,0,2018/07/06 20:26:49,1,3,0,1,0
Case No. 3,0,2018/07/06 20:37:52,1,1,0,0,0
Case No. 3,6,2018/07/06 20:41:32,1,0,0,0,0
Case No. 3,0,2018/07/06 20:50:42,1,0,0,0,0
Case No. 3,1,2018/07/06 21:24:07,1,0,0,0,1
Case No. 3,4,2018/07/06 22:11:49,1,0,0,0,0
Case No. 3,3,2018/07/06 22:16:53,1,3,0,0,0
Case No. 3,2,2018/07/06 22:28:06,1,2,0,0,0
Case No. 3,3,2018/07/06 22:38:52,2,1,1,2,2
Case No. 4,0,2018/07/06 23:24:21,0,0,2,0,0
Case No. 4,7,2018/07/06 23:45:27,0,0,0,0,0
Case No. 4,1,2018/07/06 23:49:34,0,0,0,0,0
Case No. 4,6,2018/07/06 23:53:02,0,0,0,0,0
Case No. 4,3,2018/07/07 00:00:27,1,0,1,0,1
Case No. 4,2,2018/07/07 00:04:48,1,0,1,1,0
Case No. 4,2,2018/07/07 00:07:15,1,0,0,0,0
Case No. 4,7,2018/07/07 00:10:13,3,3,0,0,0
Case No. 4,2,2018/07/07 00:29:48,1,0,0,0,0
Case No. 4,3,2018/07/07 00:47:54,3,0,0,0,1
Case No. 4,3,2018/07/07 01:12:13,3,0,1,0,0
Case No. 4,7,2018/07/07 01:15:08,2,0,0,0,0
Case No. 4,2,2018/07/07 01:44:07,1,0,0,0,0
Case No. 4,6,2018/07/07 01:57:37,2,0,0,0,1
Case No. 4,3,2018/07/07 02:00:36,0,0,0,0,0
Case No. 4,3,2018/07/07 02:05:24,3,0,0,0,1
Case No. 4,0,2018/07/07 02:25:21,0,0,0,0,0
Case No. 4,0,2018/07/07 02:34:18,3,0,0,0,0
Case No. 4,0,2018/07/07 02:45:28,2,0,0,0,0
Case No. 4,1,2018/07/07 02:47:32,0,0,0,1,0
Case No. 5,0,2018/07/07 03:01:16,0,3,0,0,0
Case No. 5,2,2018/07/07 03:07:48,0,0,1,0,0
Case No. 5,1,2018/07/07 03:09:36,0,0,0,0,0
Case No. 5,6,2018/07/07 03:30:52,0,0,0,0,1
Case No. 5,3,2018/07/07 03:31:25,1,0,0,0,0
Case No. 5,3,2018/07/07 03:39:23,2,3,0,0,3
Case No. 5,7,2018/07/07 03:39:52,1,0,0,0,1
Case No. 5,7,2018/07/07 03:59:38,1,0,0,0,0
Case No. 5,3,2018/07/07 04:31:24,1,0,0,0,0
Case No. 5,2,2018/07/07 04:33:08,1,0,0,0,0
Case No. 5,0,2018/07/07 04:56:55,1,0,0,0,0
Case No. 5,0,2018/07/07 05:11:07,1,0,0,0,0
Case No. 5,0,2018/07/07 05:47:47,1,0,0,0,0
Case No. 5,3,2018/07/07 05:52:27,1,0,0,3,0
Case No. 5,2,2018/07/07 05:53:02,1,0,0,0,1
Case No. 5,7,2018/07/07 05:57:29,2,0,0,0,0
Case No. 5,7,2018/07/07 05:59:59,3,0,0,0,0
Case No. 5,3,2018/07/07 06:09:18,2,0,0,2,2
Case No. 5,0,2018/07/07 06:23:27,1,0,0,0,0
Case No. 5,0,2018/07/07 06:44:20,1,0,2,0,0
Case No. 6,0,2018/07/07 07:11:14,0,0,0,0,0
Case No. 6,2,2018/07/07 07:14:00,1,0,1,0,0
Case No. 6,7,2018/07/07 07:15:32,3,0,0,0,0
Case No. 6,1,2018/07/07 07:22:27,0,0,0,0,0
Case No. 6,6,2018/07/07 07:38:30,0,0,0,1,0
Case No. 6,3,2018/07/07 07:47:00,1,0,0,0,0
Case No. 6,2,2018/07/07 07:49:43,1,0,0,0,0
Case No. 6,0,2018/07/07 07:50:44,1,0,0,0,0
Case No. 6,3,2018/07/07 08:05:10,1,0,0,0,0
Case No. 6,2,2018/07/07 08:05:19,1,0,0,0,0
Case No. 6,2,2018/07/07 08:14:30,1,0,0,0,0
Case No. 6,0,2018/07/07 08:32:06,1,0,0,0,0
Case No. 6,0,2018/07/07 08:35:45,1,0,0,0,0
Case No. 6,0,2018/07/07 08:39:09,1,0,0,0,0
Case No. 6,0,2018/07/07 08:51:11,1,0,0,0,0
Case No. 6,0,2018/07/07 09:07:26,1,0,0,0,0
Case No. 6,0,2018/07/07 09:28:11,1,0,2,0,0
Case No. 6,0,2018/07/07 10:05:44,1,0,0,2,3
Case No. 6,0,2018/07/07 10:11:39,1,0,0,0,0
Case No. 6,0,2018/07/07 10:45:44,1,0,0,0,0
Case No. 7,0,2018/07/07 11:08:16,0,0,0,0,0
Case No. 7,2,2018/07/07 11:13:55,1,0,1,0,0
Case No. 7,7,2018/07/07 11:28:29,3,0,0,0,0
Case No. 7,1,2018/07/07 11:38:28,0,0,0,0,0
Case No. 7,6,2018/07/07 11:43:18,0,0,0,0,0
Case No. 7,3,2018/07/07 11:49:19,1,0,0,0,0
Case No. 7,0,2018/07/07 12:25:10,1,0,0,0,0
Case No. 7,0,2018/07/07 12:26:08,1,0,0,0,0
Case No. 7,0,2018/07/07 12:31:12,1,0,0,0,0
Case No. 7,3,2018/07/07 12:35:15,1,0,0,0,0
Case No. 7,3,2018/07/07 12:36:47,1,0,0,0,0
Case No. 7,0,2018/07/07 13:02:44,1,0,0,0,0
Case No. 7,0,2018/07/07 13:05:46,1,0,0,0,0
Case No. 7,0,2018/07/07 13:22:18,1,0,0,0,0
Case No. 7,0,2018/07/07 13:51:56,1,0,0,0,0
Case No. 7,0,2018/07/07 14:05:06,1,0,0,0,0
Case No. 7,0,2018/07/07 14:14:46,1,0,0,0,0
Case No. 7,0,2018/07/07 14:17:52,1,0,0,0,0
Case No. 7,0,2018/07/07 14:26:50,1,0,0,0,0
Case No. 7,0,2018/07/07 14:32:43,1,0,0,0,0
Case No. 8,0,2018/07/07 14:59:29,0,0,0,0,0
Case No. 8,2,2018/07/07 15:28:43,1,0,1,0,0
Case No. 8,7,2018/07/07 15:29:34,3,0,0,0,0
Case No. 8,1,2018/07/07 15:31:14,0,0,0,0,0
Case No. 8,6,2018/07/07 15:53:43,0,0,0,0,0
Case No. 8,0,2018/07/07 16:02:27,1,0,0,0,0
Case No. 8,0,2018/07/07 16:07:28,1,0,0,0,0
Case No. 8,0,2018/07/07 16:28:02,1,0,0,0,0
Case No. 8,0,2018/07/07 16:30:47,1,0,0,0,0
Case No. 8,0,2018/07/07 16:35:22,1,0,0,0,0
Case No. 8,0,2018/07/07 16:40:45,1,0,0,0,0
Case No. 8,0,2018/07/07 16:41:57,1,0,0,0,0
Case No. 8,0,2018/07/07 16:55:05,1,0,0,0,0
Case No. 8,0,2018/07/07 17:08:11,1,0,0,0,0
Case No. 8,0,2018/07/07 17:18:57,1,0,0,0,0
Case No. 8,0,2018/07/07 17:55:15,1,0,0,0,0
Case No. 8,0,2018/07/07 18:16:10,1,0,0,0,0
Case No. 8,0,2018/07/07 18:22:45,1,0,0,0,0
Case No. 8,0,2018/07/07 18:24:41,1,0,0,0,0
Case No. 8,0,2018/07/07 18:25:24,1,0,0,0,0
Case No. 9,0,2018/07/07 18:53:31,0,0,0,0,0
Case No. 9,2,2018/07/07 19:13:45,1,0,1,0,0
Case No. 9,7,2018/07/07 19:38:25,3,0,0,0,0
Case No. 9,1,2018/07/07 19:40:04,0,0,0,0,0
Case No. 9,6,2018/07/07 19:44:23,0,0,0,0,0
Case No. 9,0,2018/07/07 19:45:43,1,0,0,0,0
Case No. 9,0,2018/07/07 19:59:31,1,0,0,0,0
Case No. 9,0,2018/07/07 20:10:34,1,0,0,0,0
Case No. 9,0,2018/07/07 20:20:41,1,0,0,0,0
Case No. 9,0,2018/07/07 20:42:53,1,0,0,0,0
Case No. 9,0,2018/07/07 21:01:00,1,0,0,0,0
Case No. 9,0,2018/07/07 21:19:21,1,0,0,0,0
Case No. 9,0,2018/07/07 21:20:15,1,0,0,0,0
Case No. 9,0,2018/07/07 21:43:41,1,0,0,0,0
Case No. 9,0,2018/07/07 21:47:15,1,0,0,0,0
Case No. 9,0,2018/07/07 21:53:14,1,0,0,0,1
Case No. 9,0,2018/07/07 22:03:34,1,0,0,0,0
Case No. 9,0,2018/07/07 22:11:17,1,0,0,0,0
Case No. 9,0,2018/07/07 22:17:48,1,0,0,0,0
Case No. 9,0,2018/07/07 22:19:36,1,0,0,0,0
Case No. 10,0,2018/07/07 23:00:25,0,3,0,0,0
Case No. 10,2,2018/07/07 23:07:10,1,0,1,0,0
Case No. 10,7,2018/07/07 23:16:49,3,0,0,0,0
Case No. 10,1,2018/07/07 23:20:44,0,0,0,0,0
Case No. 10,6,2018/07/07 23:33:28,0,0,0,0,0
Case No. 10,0,2018/07/07 23:54:58,1,0,0,0,0
Case No. 10,0,2018/07/08 00:08:28,1,0,0,0,0
Case No. 10,0,2018/07/08 01:05:02,1,0,0,0,0
Case No. 10,0,2018/07/08 01:09:22,1,0,0,0,0
Case No. 10,0,2018/07/08 01:10:20,1,0,0,0,0
Case No. 10,0,2018/07/08 01:22:33,1,0,0,0,0
Case No. 10,0,2018/07/08 01:31:32,1,0,0,0,0
Case No. 10,0,2018/07/08 01:32:22,1,0,0,0,0
Case No. 10,0,2018/07/08 01:52:47,1,0,0,0,0
Case No. 10,0,2018/07/08 01:56:31,1,0,0,0,0
Case No. 10,0,2018/07/08 01:57:55,1,0,0,0,0
Case No. 10,0,2018/07/08 02:00:42,1,0,0,0,0
Case No. 10,0,2018/07/08 02:01:05,1,0,0,0,0
Case No. 10,0,2018/07/08 02:25:18,1,0,0,0,0
Case No. 10,0,2018/07/08 02:35:56,1,0,0,0,0
Case No. 11,0,2018/07/08 03:07:24,0,1,0,0,0
Case No. 11,2,2018/07/08 03:27:42,1,0,1,0,0
Case No. 11,7,2018/07/08 03:28:38,3,0,0,0,0
Case No. 11,1,2018/07/08 03:34:38,0,0,0,0,0
Case No. 11,6,2018/07/08 03:44:23,0,0,0,0,0
Case No. 11,0,2018/07/08 04:00:45,1,0,0,0,0
Case No. 11,0,2018/07/08 04:07:45,1,0,0,0,0
Case No. 11,0,2018/07/08 04:08:14,1,0,0,0,0
Case No. 11,0,2018/07/08 04:57:02,1,0,0,0,0
Case No. 11,0,2018/07/08 05:10:44,1,0,0,0,0
Case No. 11,0,2018/07/08 05:20:09,1,0,0,0,0
Case No. 11,0,2018/07/08 05:39:58,1,0,0,0,0
Case No. 11,0,2018/07/08 05:41:25,1,0,0,0,0
Case No. 11,0,2018/07/08 05:52:06,1,0,0,0,0
Case No. 11,0,2018/07/08 06:02:35,1,0,0,0,0
Case No. 11,0,2018/07/08 06:07:55,1,0,0,0,0
Case No. 11,0,2018/07/08 06:15:47,1,0,0,0,0
Case No. 11,0,2018/07/08 06:21:03,1,0,0,0,0
Case No. 11,0,2018/07/08 06:36:12,1,0,0,0,0
Case No. 11,0,2018/07/08 06:45:24,1,0,0,0,0
Case No. 12,0,2018/07/08 07:04:41,0,2,0,0,0
Case No. 12,2,2018/07/08 07:09:47,1,0,1,0,0
Case No. 12,7,2018/07/08 07:20:54,3,0,0,0,0
Case No. 12,1,2018/07/08 07:23:54,0,0,0,0,0
Case No. 12,6,2018/07/08 07:35:59,0,0,0,0,0
Case No. 12,0,2018/07/08 07:57:12,1,0,0,0,0
Case No. 12,0,2018/07/08 08:08:16,1,0,0,0,0
Case No. 12,0,2018/07/08 08:14:14,1,0,0,0,0
Case No. 12,0,2018/07/08 08:21:12,1,0,0,0,0
Case No. 12,0,2018/07/08 08:39:02,1,0,0,0,0
Case No. 12,0,2018/07/08 08:43:52,1,0,0,0,0
Case No. 12,0,2018/07/08 08:51:09,1,0,0,0,0
Case No. 12,0,2018/07/08 08:54:24,1,0,0,0,0
Case No. 12,0,2018/07/08 09:16:25,1,0,0,0,0
Case No. 12,0,2018/07/08 09:16:34,1,0,0,0,0
Case No. 12,0,2018/07/08 09:26:30,1,0,0,0,0
Case No. 12,0,2018/07/08 09:40:07,1,0,0,0,0
Case No. 12,0,2018/07/08 10:14:26,1,0,0,0,0
Case No. 12,0,2018/07/08 10:18:02,1,0,0,0,0
Case No. 12,0,2018/07/08 10:42:14,1,0,0,0,0
Case No. 13,0,2018/07/08 11:36:57,0,2,0,3,0
Case No. 13,2,2018/07/08 12:11:09,1,0,1,0,0
Case No. 13,7,2018/07/08 12:24:50,3,0,0,0,0
Case No. 13,1,2018/07/08 12:43:13,0,0,0,0,0
Case No. 13,6,2018/07/08 12:51:46,0,0,0,0,0
Case No. 13,0,2018/07/08 12:52:52,1,0,0,0,0
Case No. 13,0,2018/07/08 13:01:01,1,0,0,0,0
Case No. 13,0,2018/07/08 13:07:02,1,0,0,0,0
Case No. 13,0,2018/07/08 13:11:39,1,0,0,0,0
Case No. 13,0,2018/07/08 13:18:54,1,0,0,0,0
Case No. 13,0,2018/07/08 13:29:13,1,0,0,0,0
Case No. 13,0,2018/07/08 13:50:03,1,0,0,0,0
Case No. 13,0,2018/07/08 14:05:43,1,0,0,0,0
Case No. 13,0,2018/07/08 14:18:24,1,0,0,0,0
Case No. 13,0,2018/07/08 14:23:07,1,0,0,0,0
Case No. 13,0,2018/07/08 14:27:14,1,0,0,0,0
Case No. 13,0,2018/07/08 14:38:41,1,0,0,0,0
Case No. 13,0,2018/07/08 14:42:43,1,0,0,0,0
Case No. 13,0,2018/07/08 14:44:03,1,0,0,0,0
Case No. 13,0,2018/07/08 14:50:54,1,0,0,0,0
Case No. 14,0,2018/07/08 15:15:11,0,0,0,1,0
Case No. 14,2,2018/07/08 15:26:42,1,0,1,0,0
Case No. 14,7,2018/07/08 15:52:00,3,0,0,0,0
Case No. 14,1,2018/07/08 15:54:32,0,0,0,0,0
Case No. 14,6,2018/07/08 15:59:22,0,0,0,0,0
Case No. 14,0,2018/07/08 16:15:37,1,0,0,0,0
Case No. 14,0,2018/07/08 16:23:57,1,0,0,0,0
Case No. 14,0,2018/07/08 16:53:55,1,0,0,0,0
Case No. 14,0,2018/07/08 17:18:28,1,0,0,0,0
Case No. 14,0,2018/07/08 17:24:13,1,0,0,0,0
Case No. 14,0,2018/07/08 17:52:30,1,0,0,0,0
Case No. 14,0,2018/07/08 17:57:26,1,0,0,0,0
Case No. 14,0,2018/07/08 18:00:23,1,0,0,0,0
Case No. 14,0,2018/07/08 18:00:53,1,0,0,0,0
Case No. 14,0,2018/07/08 18:03:51,1,0,0,0,0
Case No. 14,0,2018/07/08 18:10:07,1,0,0,0,0
Case No. 14,0,2018/07/08 18:41:49,1,0,0,0,0
Case No. 14,0,2018/07/08 18:41:52,1,0,0,0,0
Case No. 14,0,2018/07/08 18:44:12,1,0,0,0,0
Case No. 14,0,2018/07/08 18:47:29,1,0,0,0,0
Case No. 15,0,2018/07/08 19:00:09,0,3,0,1,0
Case No. 15,2,2018/07/08 19:09:00,1,0,1,0,0
Case No. 15,7,2018/07/08 19:16:26,3,0,0,0,0
Case No. 15,1,2018/07/08 19:23:08,0,0,0,0,0
Case No. 15,6,2018/07/08 19:28:16,0,0,0,0,0
Case No. 15,0,2018/07/08 19:39:38,1,0,0,0,0
Case No. 15,0,2018/07/08 19:46:12,1,0,0,0,0
Case No. 15,0,2018/07/08 19:59:56,1,0,0,0,0
Case No. 15,0,2018/07/08 20:05:52,1,0,0,0,0
Case No. 15,0,2018/07/08 20:16:23,1,0,0,0,0
Case No. 15,0,2018/07/08 20:18:10,1,0,0,0,0
Case No. 15,0,2018/07/08 20:20:33,1,0,0,0,0
Case No. 15,0,2018/07/08 20:25:11,1,0,0,0,0
Case No. 15,0,2018/07/08 20:43:23,1,0,0,0,0
Case No. 15,0,2018/07/08 20:58:10,1,0,0,0,0
Case No. 15,0,2018/07/08 20:58:25,1,0,0,0,0
Case No. 15,0,2018/07/08 21:59:33,1,0,0,0,0
Case No. 15,0,2018/07/08 22:27:38,1,0,0,0,0
Case No. 15,0,2018/07/08 22:27:53,1,0,0,0,0
Case No. 15,0,2018/07/08 22:42:31,1,0,0,0,0
Case No. 16,0,2018/07/08 23:10:32,0,1,0,1,0
Case No. 16,2,2018/07/08 23:28:21,1,0,1,0,0
Case No. 16,7,2018/07/08 23:58:37,3,0,0,0,0
Case No. 16,1,2018/07/09 00:17:32,0,0,0,0,0
Case No. 16,6,2018/07/09 00:20:51,0,0,0,0,0
Case No. 16,0,2018/07/09 00:40:13,1,0,0,0,0
Case No. 16,0,2018/07/09 00:48:03,1,0,0,0,0
Case No. 16,0,2018/07/09 00:50:40,1,0,0,0,0
Case No. 16,0,2018/07/09 01:02:20,1,0,0,0,0
Case No. 16,0,2018/07/09 01:19:06,1,0,0,0,0
Case No. 16,0,2018/07/09 01:26:36,1,0,0,0,0
Case No. 16,0,2018/07/09 01:38:13,1,0,0,0,0
Case No. 16,0,2018/07/09 02:08:11,1,0,0,0,0
Case No. 16,0,2018/07/09 02:13:06,1,0,0,0,0
Case No. 16,0,2018/07/09 02:22:12,1,0,0,0,0
Case No. 16,0,2018/07/09 02:25:44,1,0,0,0,0
Case No. 16,0,2018/07/09 02:26:32,1,0,0,0,0
Case No. 16,0,2018/07/09 02:34:58,1,0,0,0,0
Case No. 16,0,2018/07/09 02:40:54,1,0,0,0,0
Case No. 16,0,2018/07/09 02:42:59,1,0,0,0,0
Case No. 17,0,2018/07/09 02:58:20,0,2,0,1,0
Case No. 17,2,2018/07/09 02:58:25,1,0,1,0,0
Case No. 17,7,2018/07/09 03:07:39,3,0,0,0,0
Case No. 17,1,2018/07/09 03:09:02,0,0,0,0,0
Case No. 17,6,2018/07/09 03:48:06,0,0,0,0,0
Case No. 17,0,2018/07/09 03:51:02,1,0,0,0,0
Case No. 17,0,2018/07/09 03:56:20,1,0,0,0,0
Case No. 17,0,2018/07/09 04:21:03,1,0,0,0,0
Case No. 17,0,2018/07/09 04:25:01,1,0,0,0,0
Case No. 17,0,2018/07/09 04:35:24,1,0,0,0,0
Case No. 17,0,2018/07/09 05:02:45,1,0,0,0,0
Case No. 17,0,2018/07/09 05:07:35,1,0,0,0,0
Case No. 17,0,2018/07/09 05:30:52,1,0,0,0,0
Case No. 17,0,2018/07/09 05:41:51,1,0,0,0,0
Case No. 17,0,2018/07/09 05:45:28,1,0,0,0,0
Case No. 17,0,2018/07/09 05:52:41,1,0,0,0,0
Case No. 17,0,2018/07/09 06:16:48,1,0,0,0,0
Case No. 17,0,2018/07/09 06:19:56,1,0,0,0,0
Case No. 17,0,2018/07/09 06:27:30,1,0,0,0,0
Case No. 17,0,2018/07/09 06:50:00,1,0,0,0,0
Case No. 18,0,2018/07/09 06:53:19,0,2,0,2,0
Case No. 18,2,2018/07/09 07:33:33,1,0,1,0,0
Case No. 18,7,2018/07/09 07:39:34,3,0,0,0,0
Case No. 18,1,2018/07/09 07:53:21,0,0,0,0,0
Case No. 18,6,2018/07/09 07:53:40,0,0,0,0,0
Case No. 18,0,2018/07/09 08:16:54,1,0,0,0,0
Case No. 18,0,2018/07/09 08:18:38,1,0,0,0,0
Case No. 18,0,2018/07/09 08:25:39,1,0,0,0,0
Case No. 18,0,2018/07/09 08:50:22,1,0,0,0,0
Case No. 18,0,2018/07/09 08:57:22,1,0,0,0,0
Case No. 18,0,2018/07/09 09:23:07,1,0,0,0,0
Case No. 18,0,2018/07/09 09:28:05,1,0,0,0,0
Case No. 18,0,2018/07/09 09:34:05,1,0,0,0,0
Case No. 18,0,2018/07/09 09:40:11,1,0,0,0,0
Case No. 18,0,2018/07/09 09:57:05,1,0,0,0,0
Case No. 18,0,2018/07/09 10:04:18,1,0,0,0,0
Case No. 18,0,2018/07/09 10:16:54,1,0,0,0,0
Case No. 18,0,2018/07/09 10:43:37,1,0,0,0,0
Case No. 18,0,2018/07/09 10:45:23,1,0,0,0,0
Case No. 18,0,2018/07/09 10:47:49,1,0,0,0,0
Case No. 19,0,2018/07/09 10:59:04,0,0,0,3,0
Case No. 19,2,2018/07/09 11:15:29,1,0,1,0,0
Case No. 19,7,2018/07/09 11:59:58,3,0,0,0,0
Case No. 19,1,2018/07/09 12:16:29,0,0,0,0,0
Case No. 19,6,2018/07/09 12:22:20,0,0,0,0,0
Case No. 19,0,2018/07/09 13:04:19,1,0,0,0,0
Case No. 19,0,2018/07/09 13:14:01,1,0,0,0,0
Case No. 19,0,2018/07/09 13:25:59,1,0,0,0,0
Case No. 19,0,2018/07/09 13:30:08,1,0,0,0,0
Case No. 19,0,2018/07/09 13:33:28,1,0,0,0,0
Case No. 19,0,2018/07/09 13:40:53,1,0,0,0,0
Case No. 19,0,2018/07/09 13:52:43,1,0,0,0,0
Case No. 19,0,2018/07/09 13:52:49,1,0,0,0,0
Case No. 19,0,2018/07/09 13:57:43,1,0,0,0,0
Case No. 19,0,2018/07/09 13:59:29,1,0,0,0,0
Case No. 19,0,2018/07/09 14:10:01,1,0,0,0,0
Case No. 19,0,2018/07/09 14:23:47,1,0,0,0,0
Case No. 19,0,2018/07/09 14:31:08,1,0,0,0,0
Case No. 19,0,2018/07/09 14:42:53,1,0,0,0,0
Case No. 19,0,2018/07/09 14:45:04,1,0,0,0,0
Case No. 20,0,2018/07/09 15:03:31,0,0,0,2,0
Case No. 20,2,2018/07/09 15:12:09,1,0,1,0,0
Case No. 20,7,2018/07/09 15:12:54,3,0,0,0,0
Case No. 20,1,2018/07/09 15:15:24,0,0,0,0,0
Case No. 20,6,2018/07/09 15:25:49,0,0,0,0,0
Case No. 20,0,2018/07/09 15:40:23,1,0,0,0,0
Case No. 20,0,2018/07/09 15:40:32,1,0,0,0,0
Case No. 20,0,2018/07/09 15:47:59,1,0,0,0,0
Case No. 20,0,2018/07/09 15:48:13,1,0,0,0,0
Case No. 20,0,2018/07/09 15:53:30,1,0,0,0,0
Case No. 20,0,2018/07/09 15:59:37,1,0,0,0,0
Case No. 20,0,2018/07/09 16:22:13,1,0,0,0,0
Case No. 20,0,2018/07/09 17:15:24,1,0,0,0,0
Case No. 20,0,2018/07/09 17:42:26,1,0,0,0,0
Case No. 20,0,2018/07/09 17:55:18,1,0,0,0,0
Case No. 20,0,2018/07/09 18:00:07,1,0,0,0,0
Case No. 20,0,2018/07/09 18:26:05,1,0,0,0,0
Case No. 20,0,2018/07/09 18:45:16,1,0,0,0,0
Case No. 20,0,2018/07/09 18:47:55,1,0,0,0,0
Case No. 20,0,2018/07/09 18:52:41,1,0,0,0,0
Case No. 21,0,2018/07/09 19:32:01,0,3,0,2,0
Case No. 21,2,2018/07/09 19:36:20,1,0,1,0,0
Case No. 21,7,2018/07/09 19:54:58,3,0,0,0,0
Case No. 21,1,2018/07/09 20:00:10,0,0,0,0,0
Case No. 21,6,2018/07/09 20:04:48,0,0,0,0,0
Case No. 21,0,2018/07/09 20:06:59,1,0,0,0,0
Case No. 21,0,2018/07/09 20:15:53,1,0,0,0,0
Case No. 21,0,2018/07/09 20:27:25,1,0,0,0,0
Case No. 21,0,2018/07/09 20:37:04,1,0,0,0,0
Case No. 21,0,2018/07/09 20:42:51,1,0,0,0,0
Case No. 21,0,2018/07/09 20:48:26,1,0,0,0,0
Case No. 21,0,2018/07/09 20:51:43,1,0,0,0,0
Case No. 21,0,2018/07/09 21:05:54,1,0,0,0,0
Case No. 21,0,2018/07/09 21:19:28,1,0,0,0,0
Case No. 21,0,2018/07/09 21:32:06,1,0,0,0,0
Case No. 21,0,2018/07/09 21:38:40,1,0,0,0,0
Case No. 21,0,2018/07/09 21:43:12,1,0,0,0,0
Case No. 21,0,2018/07/09 21:58:07,1,0,0,0,0
Case No. 21,0,2018/07/09 22:00:05,1,0,0,0,0
Case No. 21,0,2018/07/09 22:04:10,1,0,0,0,0
Case No. 22,0,2018/07/09 22:57:33,0,3,0,3,0
Case No. 22,2,2018/07/09 23:05:18,1,0,1,0,0
Case No. 22,7,2018/07/09 23:07:47,3,0,0,0,0
Case No. 22,1,2018/07/09 23:32:46,0,0,0,0,0
Case No. 22,6,2018/07/09 23:32:51,0,0,0,0,0
Case No. 22,0,2018/07/09 23:50:24,1,0,0,0,0
Case No. 22,0,2018/07/10 00:07:09,1,0,0,0,0
Case No. 22,0,2018/07/10 00:15:12,1,0,0,0,0
Case No. 22,0,2018/07/10 00:19:16,1,0,0,0,0
Case No. 22,0,2018/07/10 01:05:13,1,0,0,0,0
Case No. 22,0,2018/07/10 01:14:37,1,0,0,0,0
Case No. 22,0,2018/07/10 01:28:05,1,0,0,0,0
Case No. 22,0,2018/07/10 01:31:15,1,0,0,0,0
