case,event,startTime,Group
Case No. 8,BookAccomodation,2018/03/23 17:59:52.631,G2
Case No. 8,BookAccomodation,2018/03/23 18:46:02.631,G2
Case No. 8,BookAccomodation,2018/03/23 19:00:43.631,G2
Case No. 8,BookTransport,2018/03/23 19:17:29.631,G2
Case No. 9,ApplyForTrip,2018/03/23 21:09:53.631,G2
Case No. 9,BookTransport,2018/03/23 21:11:14.631,G2
Case No. 9,BookAccomodation,2018/03/23 21:14:48.631,G4
Case No. 9,BookAccomodation,2018/03/23 21:19:28.631,G2
Case No. 9,BookTransport,2018/03/23 21:36:58.631,G2
Case No. 9,BookAccomodation,2018/03/23 22:01:18.631,G2
Case No. 9,BookAccomodation,2018/03/23 22:11:49.631,G2
Case No. 9,BookAccomodation,2018/03/23 22:27:13.631,G2
Case No. 9,ApplyForTrip,2018/03/23 22:32:40.631,G2
Case No. 9,BookTransport,2018/03/23 22:42:32.631,G2
Case No. 9,BookAccomodation,2018/03/23 23:07:22.631,G2
Case No. 9,BookAccomodation,2018/03/23 23:10:14.631,G2
Case No. 9,BookAccomodation,2018/03/23 23:13:32.631,G2
Case No. 9,BookAccomodation,2018/03/23 23:14:56.631,G2
Case No. 9,BookTransport,2018/03/23 23:15:07.631,G2
Case No. 10,ApplyForTrip,2018/03/23 23:39:12.631,G4
Case No. 10,BookTransport,2018/03/23 23:41:05.631,G2
Case No. 10,BookAccomodation,2018/03/24 00:01:19.631,G4
Case No. 10,BookAccomodation,2018/03/24 00:03:08.631,G2
Case No. 10,BookTransport,2018/03/24 00:11:01.631,G2
Case No. 10,BookAccomodation,2018/03/24 00:31:24.631,G2
Case No. 10,BookAccomodation,2018/03/24 01:01:20.631,G2
Case No. 10,BookAccomodation,2018/03/24 01:16:26.631,G2
Case No. 10,ApplyForTrip,2018/03/24 01:19:30.631,G2
Case No. 10,BookTransport,2018/03/24 01:24:17.631,G2
Case No. 10,BookAccomodation,2018/03/24 01:25:18.631,G2
Case No. 10,BookAccomodation,2018/03/24 02:18:35.631,G2
Case No. 10,BookAccomodation,2018/03/24 02:52:43.631,G2
Case No. 10,BookAccomodation,2018/03/24 02:55:48.631,G2
Case No. 10,BookTransport,2018/03/24 03:18:49.631,G2
Case No. 11,ApplyForTrip,2018/03/24 03:30:08.631,G1
Case No. 11,BookTransport,2018/03/24 03:40:15.631,G2
Case No. 11,BookAccomodation,2018/03/24 03:41:52.631,G1
Case No. 11,BookAccomodation,2018/03/24 03:47:39.631,G2
Case No. 11,BookTransport,2018/03/24 04:35:57.631,G2
Case No. 11,BookAccomodation,2018/03/24 04:47:39.631,G2
Case No. 11,BookAccomodation,2018/03/24 04:48:48.631,G2
Case No. 11,BookAccomodation,2018/03/24 05:02:10.631,G2
Case No. 11,ApplyForTrip,2018/03/24 05:05:40.631,G2
Case No. 11,BookTransport,2018/03/24 05:20:18.631,G2
Case No. 11,BookAccomodation,2018/03/24 05:42:21.631,G2
Case No. 11,BookAccomodation,2018/03/24 05:51:21.631,G2
Case No. 11,BookAccomodation,2018/03/24 06:28:34.631,G2
Case No. 11,BookAccomodation,2018/03/24 06:51:29.631,G2
Case No. 11,BookTransport,2018/03/24 07:14:15.631,G2
Case No. 12,ApplyForTrip,2018/03/24 07:39:11.631,G1
Case No. 12,BookTransport,2018/03/24 08:20:27.631,G2
Case No. 12,BookAccomodation,2018/03/24 08:41:43.631,G4
Case No. 12,BookAccomodation,2018/03/24 08:54:18.631,G2
Case No. 12,BookTransport,2018/03/24 09:39:15.631,G2
Case No. 12,BookAccomodation,2018/03/24 09:50:30.631,G2
Case No. 12,BookAccomodation,2018/03/24 10:11:46.631,G2
Case No. 12,BookAccomodation,2018/03/24 10:27:39.631,G2
Case No. 12,ApplyForTrip,2018/03/24 10:28:11.631,G2
Case No. 12,BookTransport,2018/03/24 10:35:26.631,G2
Case No. 12,BookAccomodation,2018/03/24 10:40:35.631,G2
Case No. 12,BookAccomodation,2018/03/24 10:43:48.631,G2
Case No. 12,BookAccomodation,2018/03/24 10:45:47.631,G2
Case No. 12,BookAccomodation,2018/03/24 11:02:53.631,G2
Case No. 12,BookTransport,2018/03/24 11:07:54.631,G2
Case No. 13,ApplyForTrip,2018/03/24 11:25:16.631,G1
Case No. 13,BookTransport,2018/03/24 11:43:01.631,G2
Case No. 13,BookAccomodation,2018/03/24 12:08:02.631,G4
Case No. 13,BookAccomodation,2018/03/24 12:22:58.631,G1
Case No. 13,BookTransport,2018/03/24 12:24:14.631,G2
Case No. 13,BookAccomodation,2018/03/24 12:34:44.631,G2
Case No. 13,BookAccomodation,2018/03/24 12:54:55.631,G2
Case No. 13,BookAccomodation,2018/03/24 13:18:37.631,G2
Case No. 13,ApplyForTrip,2018/03/24 13:35:08.631,G2
Case No. 13,BookTransport,2018/03/24 13:45:23.631,G2
Case No. 13,BookAccomodation,2018/03/24 14:23:44.631,G2
Case No. 13,BookAccomodation,2018/03/24 14:28:11.631,G2
Case No. 13,BookAccomodation,2018/03/24 14:42:00.631,G2
Case No. 13,BookAccomodation,2018/03/24 14:49:35.631,G2
Case No. 13,BookTransport,2018/03/24 15:03:45.631,G2
Case No. 14,ApplyForTrip,2018/03/24 15:25:18.631,G2
Case No. 14,BookTransport,2018/03/24 15:28:38.631,G2
Case No. 14,BookAccomodation,2018/03/24 15:45:31.631,G2
Case No. 14,BookAccomodation,2018/03/24 16:23:49.631,G1
Case No. 14,BookTransport,2018/03/24 16:27:37.631,G2
Case No. 14,BookAccomodation,2018/03/24 16:59:44.631,G2
Case No. 14,BookAccomodation,2018/03/24 17:25:34.631,G2
Case No. 14,BookAccomodation,2018/03/24 17:54:32.631,G2
Case No. 14,ApplyForTrip,2018/03/24 18:17:08.631,G2
Case No. 14,BookTransport,2018/03/24 18:31:55.631,G2
Case No. 14,BookAccomodation,2018/03/24 18:33:23.631,G2
Case No. 14,BookAccomodation,2018/03/24 18:35:18.631,G2
Case No. 14,BookAccomodation,2018/03/24 18:41:49.631,G2
Case No. 14,BookAccomodation,2018/03/24 19:10:36.631,G2
Case No. 14,BookTransport,2018/03/24 19:13:46.631,G2
Case No. 15,ApplyForTrip,2018/03/24 19:34:32.631,G2
Case No. 15,BookTransport,2018/03/24 19:42:23.631,G2
Case No. 15,BookAccomodation,2018/03/24 20:11:14.631,G2
Case No. 15,BookAccomodation,2018/03/24 20:17:56.631,G4
Case No. 15,BookTransport,2018/03/24 20:21:45.631,G2
Case No. 15,BookAccomodation,2018/03/24 20:34:30.631,G2
Case No. 15,BookAccomodation,2018/03/24 21:12:46.631,G2
Case No. 15,BookAccomodation,2018/03/24 21:47:52.631,G2
Case No. 15,ApplyForTrip,2018/03/24 22:13:32.631,G2
Case No. 15,BookTransport,2018/03/24 22:23:15.631,G2
Case No. 15,BookAccomodation,2018/03/24 22:24:24.631,G2
Case No. 15,BookAccomodation,2018/03/24 22:36:44.631,G2
Case No. 15,BookAccomodation,2018/03/24 22:55:43.631,G2
Case No. 15,BookAccomodation,2018/03/24 23:15:56.631,G2
Case No. 15,BookTransport,2018/03/24 23:17:51.631,G2
Case No. 16,ApplyForTrip,2018/03/24 23:24:44.631,G4
Case No. 16,BookTransport,2018/03/24 23:27:07.631,G2
Case No. 16,BookAccomodation,2018/03/24 23:34:33.631,G2
Case No. 16,BookAccomodation,2018/03/25 00:03:03.631,G4
Case No. 16,BookTransport,2018/03/25 00:22:57.631,G2
Case No. 16,BookAccomodation,2018/03/25 01:07:23.631,G2
Case No. 16,BookAccomodation,2018/03/25 01:50:50.631,G2
Case No. 16,BookAccomodation,2018/03/25 03:10:40.631,G2
Case No. 16,ApplyForTrip,2018/03/25 03:18:12.631,G2
Case No. 16,BookTransport,2018/03/25 03:26:53.631,G2
Case No. 16,BookAccomodation,2018/03/25 03:52:45.631,G2
Case No. 16,BookAccomodation,2018/03/25 03:54:13.631,G2
Case No. 16,BookAccomodation,2018/03/25 03:59:51.631,G2
Case No. 16,BookAccomodation,2018/03/25 03:03:33.631,G2
Case No. 16,BookTransport,2018/03/25 03:16:02.631,G2
Case No. 17,ApplyForTrip,2018/03/25 03:19:53.631,G1
Case No. 17,BookTransport,2018/03/25 03:26:39.631,G2
Case No. 17,BookAccomodation,2018/03/25 03:28:50.631,G2
Case No. 17,BookAccomodation,2018/03/25 03:35:09.631,G1
Case No. 17,BookTransport,2018/03/25 03:36:17.631,G2
Case No. 17,BookAccomodation,2018/03/25 04:20:39.631,G2
Case No. 17,BookAccomodation,2018/03/25 05:01:54.631,G2
Case No. 17,BookAccomodation,2018/03/25 05:02:01.631,G2
Case No. 17,ApplyForTrip,2018/03/25 05:12:42.631,G2
Case No. 17,BookTransport,2018/03/25 05:18:51.631,G2
Case No. 17,BookAccomodation,2018/03/25 05:37:14.631,G2
Case No. 17,BookAccomodation,2018/03/25 06:07:14.631,G2
Case No. 17,BookAccomodation,2018/03/25 06:23:25.631,G2
Case No. 17,BookAccomodation,2018/03/25 06:33:04.631,G2
Case No. 17,BookTransport,2018/03/25 06:55:38.631,G2
Case No. 18,ApplyForTrip,2018/03/25 08:03:11.631,G4
Case No. 18,BookTransport,2018/03/25 08:07:27.631,G2
Case No. 18,BookAccomodation,2018/03/25 08:23:50.631,G2
Case No. 18,BookAccomodation,2018/03/25 08:37:30.631,G1
Case No. 18,BookTransport,2018/03/25 08:43:33.631,G2
Case No. 18,BookAccomodation,2018/03/25 08:47:26.631,G2
Case No. 18,BookAccomodation,2018/03/25 09:02:13.631,G2
Case No. 18,BookAccomodation,2018/03/25 09:18:20.631,G2
Case No. 18,ApplyForTrip,2018/03/25 09:29:29.631,G2
Case No. 18,BookTransport,2018/03/25 10:03:22.631,G2
Case No. 18,BookAccomodation,2018/03/25 10:22:05.631,G2
Case No. 18,BookAccomodation,2018/03/25 10:38:40.631,G2
Case No. 18,BookAccomodation,2018/03/25 10:59:28.631,G2
Case No. 18,BookAccomodation,2018/03/25 11:09:30.631,G2
Case No. 18,BookTransport,2018/03/25 11:12:59.631,G2
Case No. 19,ApplyForTrip,2018/03/25 11:42:49.631,G1
Case No. 19,BookTransport,2018/03/25 11:43:15.631,G2
Case No. 19,BookAccomodation,2018/03/25 12:20:20.631,G2
Case No. 19,BookAccomodation,2018/03/25 12:21:58.631,G4
Case No. 19,BookTransport,2018/03/25 12:41:51.631,G2
Case No. 19,BookAccomodation,2018/03/25 12:45:42.631,G2
Case No. 19,BookAccomodation,2018/03/25 13:07:36.631,G2
Case No. 19,BookAccomodation,2018/03/25 13:23:19.631,G2
Case No. 19,ApplyForTrip,2018/03/25 13:49:41.631,G2
Case No. 19,BookTransport,2018/03/25 14:05:51.631,G2
Case No. 19,BookAccomodation,2018/03/25 14:16:25.631,G2
Case No. 19,BookAccomodation,2018/03/25 14:17:47.631,G2
Case No. 19,BookAccomodation,2018/03/25 15:08:16.631,G2
Case No. 19,BookAccomodation,2018/03/25 15:11:47.631,G2
Case No. 19,BookTransport,2018/03/25 15:15:49.631,G2
Case No. 20,ApplyForTrip,2018/03/25 15:28:28.631,G1
Case No. 20,BookTransport,2018/03/25 16:34:47.631,G2
Case No. 20,BookAccomodation,2018/03/25 16:38:18.631,G1
Case No. 20,BookAccomodation,2018/03/25 16:51:43.631,G4
Case No. 20,BookTransport,2018/03/25 17:06:12.631,G2
Case No. 20,BookAccomodation,2018/03/25 17:15:35.631,G2
Case No. 20,BookAccomodation,2018/03/25 17:24:55.631,G2
Case No. 20,BookAccomodation,2018/03/25 17:27:37.631,G2
Case No. 20,ApplyForTrip,2018/03/25 18:04:28.631,G2
Case No. 20,BookTransport,2018/03/25 18:35:49.631,G2
Case No. 20,BookAccomodation,2018/03/25 18:38:25.631,G2
Case No. 20,BookAccomodation,2018/03/25 18:40:43.631,G2
Case No. 20,BookAccomodation,2018/03/25 19:10:36.631,G2
Case No. 20,BookAccomodation,2018/03/25 19:15:43.631,G2
Case No. 20,BookTransport,2018/03/25 19:19:34.631,G2
Case No. 21,ApplyForTrip,2018/03/25 19:34:26.631,G2
Case No. 21,BookTransport,2018/03/25 19:53:15.631,G2
Case No. 21,BookAccomodation,2018/03/25 20:24:38.631,G1
Case No. 21,BookAccomodation,2018/03/25 20:32:35.631,G1
Case No. 21,BookTransport,2018/03/25 20:44:00.631,G2
Case No. 21,BookAccomodation,2018/03/25 20:47:30.631,G2
Case No. 21,BookAccomodation,2018/03/25 20:59:45.631,G2
Case No. 21,BookAccomodation,2018/03/25 21:07:41.631,G2
Case No. 21,ApplyForTrip,2018/03/25 21:07:47.631,G2
Case No. 21,BookTransport,2018/03/25 21:08:28.631,G2
Case No. 21,BookAccomodation,2018/03/25 21:32:07.631,G2
Case No. 21,BookAccomodation,2018/03/25 21:41:13.631,G2
Case No. 21,BookAccomodation,2018/03/25 21:46:09.631,G2
Case No. 21,BookAccomodation,2018/03/25 22:56:52.631,G2
Case No. 21,BookTransport,2018/03/25 23:03:32.631,G2
Case No. 22,BookTransport,2018/03/22 11:40:03.631,G2
Case No. 22,BookTransport,2018/03/22 11:53:33.631,G2
Case No. 22,BookTransport,2018/03/22 12:08:34.631,G2
Case No. 22,BookTransport,2018/03/22 12:16:01.631,G2
Case No. 22,BookTransport,2018/03/22 12:25:23.631,G2
Case No. 22,BookTransport,2018/03/22 12:26:14.631,G2
Case No. 22,BookTransport,2018/03/22 12:38:54.631,G2
Case No. 22,BookTransport,2018/03/22 12:56:52.631,G2
Case No. 22,BookTransport,2018/03/22 13:13:42.631,G2
Case No. 22,BookTransport,2018/03/22 13:23:25.631,G2
Case No. 22,BookTransport,2018/03/22 13:39:46.631,G2
Case No. 22,BookTransport,2018/03/22 13:43:07.631,G2
Case No. 22,BookTransport,2018/03/22 13:48:15.631,G2
Case No. 22,BookTransport,2018/03/22 13:51:21.631,G2
Case No. 22,BookTransport,2018/03/22 14:06:36.631,G2
Case No. 23,BookTransport,2018/03/22 15:26:33.631,G1
Case No. 23,BookTransport,2018/03/22 15:34:33.631,G2
Case No. 23,BookTransport,2018/03/22 15:48:16.631,G2
Case No. 23,BookTransport,2018/03/22 16:32:40.631,G2
Case No. 23,BookTransport,2018/03/22 16:35:40.631,G2
Case No. 23,BookTransport,2018/03/22 17:20:13.631,G2
Case No. 23,BookTransport,2018/03/22 17:33:00.631,G2
Case No. 23,BookTransport,2018/03/22 17:42:13.631,G2
Case No. 23,BookTransport,2018/03/22 17:47:16.631,G2
Case No. 23,BookTransport,2018/03/22 17:51:51.631,G2
Case No. 23,BookTransport,2018/03/22 17:59:49.631,G2
Case No. 23,BookTransport,2018/03/22 18:44:08.631,G2
Case No. 23,BookTransport,2018/03/22 19:03:03.631,G2
Case No. 23,BookTransport,2018/03/22 19:06:20.631,G2
Case No. 23,BookTransport,2018/03/22 19:07:06.631,G2
Case No. 24,CollectTickets,2018/03/22 19:23:04.631,G2
Case No. 24,BookTransport,2018/03/22 19:23:41.631,G2
Case No. 24,BookTransport,2018/03/22 19:40:59.631,G2
Case No. 24,BookTransport,2018/03/22 19:44:24.631,G2
Case No. 24,BookTransport,2018/03/22 20:11:45.631,G2
Case No. 24,BookTransport,2018/03/22 20:12:37.631,G2
Case No. 24,BookTransport,2018/03/22 20:18:54.631,G2
Case No. 24,BookTransport,2018/03/22 20:37:57.631,G2
Case No. 24,BookTransport,2018/03/22 21:07:54.631,G2
Case No. 24,BookTransport,2018/03/22 21:16:52.631,G2
Case No. 24,BookTransport,2018/03/22 21:18:46.631,G2
Case No. 24,BookTransport,2018/03/22 21:30:21.631,G2
Case No. 24,BookTransport,2018/03/22 23:06:59.631,G2
Case No. 24,BookTransport,2018/03/22 23:08:55.631,G2
Case No. 24,BookTransport,2018/03/22 23:12:58.631,G2
Case No. 25,CollectTickets,2018/03/22 23:22:15.631,G1
Case No. 25,BookTransport,2018/03/22 23:38:38.631,G2
Case No. 25,BookTransport,2018/03/22 23:49:42.631,G2
Case No. 25,BookTransport,2018/03/22 23:52:11.631,G2
Case No. 25,BookTransport,2018/03/23 00:22:51.631,G2
Case No. 25,BookTransport,2018/03/23 00:50:18.631,G2
Case No. 25,BookTransport,2018/03/23 01:03:31.631,G2
Case No. 25,BookTransport,2018/03/23 01:13:37.631,G2
Case No. 25,BookTransport,2018/03/23 01:50:43.631,G2
Case No. 25,BookTransport,2018/03/23 01:52:49.631,G2
Case No. 25,BookTransport,2018/03/23 02:08:26.631,G2
Case No. 25,BookTransport,2018/03/23 02:09:18.631,G2
Case No. 25,BookTransport,2018/03/23 02:21:51.631,G2
Case No. 25,BookTransport,2018/03/23 03:04:04.631,G2
Case No. 25,BookTransport,2018/03/23 03:04:45.631,G2
Case No. 26,CollectTickets,2018/03/23 03:30:02.631,G4
Case No. 26,BookTransport,2018/03/23 03:36:34.631,G2
Case No. 26,BookTransport,2018/03/23 03:50:59.631,G2
Case No. 26,BookTransport,2018/03/23 04:16:55.631,G2
Case No. 26,BookTransport,2018/03/23 04:22:07.631,G2
Case No. 26,BookTransport,2018/03/23 04:37:34.631,G2
Case No. 26,BookTransport,2018/03/23 04:50:17.631,G2
Case No. 26,BookTransport,2018/03/23 05:14:53.631,G2
Case No. 26,BookTransport,2018/03/23 05:32:14.631,G2
Case No. 26,BookTransport,2018/03/23 05:32:16.631,G2
Case No. 26,BookTransport,2018/03/23 05:37:21.631,G2
Case No. 26,BookTransport,2018/03/23 05:42:29.631,G2
Case No. 26,BookTransport,2018/03/23 05:56:39.631,G2
Case No. 26,BookTransport,2018/03/23 06:04:08.631,G2
Case No. 26,BookTransport,2018/03/23 07:17:48.631,G2
Case No. 27,ApproveApplication,2018/03/23 07:21:16.631,G4
Case No. 27,BookTransport,2018/03/23 07:30:35.631,G2
Case No. 27,BookTransport,2018/03/23 07:42:39.631,G2
Case No. 27,BookTransport,2018/03/23 07:47:04.631,G2
Case No. 27,BookTransport,2018/03/23 07:47:06.631,G2
Case No. 27,BookTransport,2018/03/23 07:52:35.631,G2
Case No. 27,BookTransport,2018/03/23 08:23:14.631,G2
Case No. 27,BookTransport,2018/03/23 08:29:39.631,G2
Case No. 27,BookTransport,2018/03/23 09:30:21.631,G2
Case No. 27,BookTransport,2018/03/23 09:35:02.631,G2
Case No. 27,BookTransport,2018/03/23 10:04:00.631,G2
Case No. 27,BookTransport,2018/03/23 10:04:44.631,G2
Case No. 27,BookTransport,2018/03/23 10:17:19.631,G2
Case No. 27,BookTransport,2018/03/23 10:26:34.631,G2
Case No. 27,BookTransport,2018/03/23 10:59:59.631,G2
Case No. 28,BookTransport,2018/03/23 11:27:31.631,G4
Case No. 28,BookTransport,2018/03/23 11:58:48.631,G2
Case No. 28,BookTransport,2018/03/23 12:12:19.631,G2
Case No. 28,BookTransport,2018/03/23 12:18:44.631,G2
Case No. 28,BookTransport,2018/03/23 12:33:38.631,G2
Case No. 28,BookTransport,2018/03/23 12:37:41.631,G2
Case No. 28,BookTransport,2018/03/23 12:40:11.631,G2
Case No. 28,BookTransport,2018/03/23 12:43:37.631,G2
Case No. 28,BookTransport,2018/03/23 12:58:51.631,G2
Case No. 28,BookTransport,2018/03/23 13:08:05.631,G2
Case No. 28,BookTransport,2018/03/23 13:27:59.631,G2
Case No. 28,BookTransport,2018/03/23 14:23:27.631,G2
Case No. 28,BookTransport,2018/03/23 14:34:26.631,G2
Case No. 28,BookTransport,2018/03/23 14:43:29.631,G2
Case No. 28,BookTransport,2018/03/23 14:58:36.631,G2
Case No. 29,ApplyForTrip,2018/03/23 15:38:14.631,G4
Case No. 29,BookTransport,2018/03/23 15:56:19.631,G2
Case No. 29,BookTransport,2018/03/23 16:00:32.631,G2
Case No. 29,BookTransport,2018/03/23 16:02:43.631,G2
Case No. 29,BookTransport,2018/03/23 16:16:30.631,G2
Case No. 29,BookTransport,2018/03/23 16:24:49.631,G2
Case No. 29,BookTransport,2018/03/23 16:35:02.631,G2
Case No. 29,BookTransport,2018/03/23 17:01:58.631,G2
Case No. 29,BookTransport,2018/03/23 17:07:40.631,G2
Case No. 29,BookTransport,2018/03/23 17:22:47.631,G2
Case No. 29,BookTransport,2018/03/23 17:26:06.631,G2
Case No. 29,BookTransport,2018/03/23 17:30:13.631,G2
Case No. 29,BookTransport,2018/03/23 17:51:15.631,G2
Case No. 29,BookTransport,2018/03/23 18:21:28.631,G2
